Station	Espece	Lot	Longueurs	PSI	IC
Missirah	Crassotrea_gasar	1	6,5	0,9993	0,1537384615
Missirah	Crassotrea_gasar	1	5,2	0,9993	0,1921730769
Missirah	Crassotrea_gasar	1	5,5	0,9993	0,1816909091
Missirah	Crassotrea_gasar	1	5,9	0,9993	0,1693728814
Missirah	Crassotrea_gasar	2	7,1	1,1401	0,1605774648
Missirah	Crassotrea_gasar	2	6,9	1,1401	0,1652318841
Missirah	Crassotrea_gasar	2	5	1,1401	0,22802
Missirah	Crassotrea_gasar	2	4,9	1,1401	0,2326734694
Missirah	Crassotrea_gasar	3	6,4	0,954525	0,1491445313
Missirah	Crassotrea_gasar	3	6,1	0,954525	0,1564795082
Missirah	Crassotrea_gasar	3	6,7	0,954525	0,1424664179
Missirah	Crassotrea_gasar	3	5,8	0,954525	0,1645732759
Missirah	Anadara_senilis	1	3,3	0,53494	0,1621030303
Missirah	Anadara_senilis	1	3,5	0,53494	0,15284
Missirah	Anadara_senilis	1	3,3	0,53494	0,1621030303
Missirah	Anadara_senilis	1	3	0,53494	0,1783133333
Missirah	Anadara_senilis	1	3,3	0,53494	0,1621030303
Missirah	Anadara_senilis	2	3,7	0,47298	0,1278324324
Missirah	Anadara_senilis	2	2,8	0,47298	0,1689214286
Missirah	Anadara_senilis	2	3,2	0,47298	0,14780625
Missirah	Anadara_senilis	2	3,2	0,47298	0,14780625
Missirah	Anadara_senilis	2	3,4	0,47298	0,1391117647
Missirah	Anadara_senilis	3	3,5	0,44714	0,1277542857
Missirah	Anadara_senilis	3	3	0,44714	0,1490466667
Missirah	Anadara_senilis	3	2,9	0,44714	0,1541862069
Missirah	Anadara_senilis	3	2,9	0,44714	0,1541862069
Missirah	Anadara_senilis	3	2,7	0,44714	0,1656074074
Bani	Crassotrea_gasar	1	7,2	0,993725	0,1380173611
Bani	Crassotrea_gasar	1	5,1	0,993725	0,1948480392
Bani	Crassotrea_gasar	1	4,8	0,993725	0,2070260417
Bani	Crassotrea_gasar	1	6,3	0,993725	0,157734127
Bani	Crassotrea_gasar	2	7,5	1,2249	0,16332
Bani	Crassotrea_gasar	2	5,9	1,2249	0,2076101695
Bani	Crassotrea_gasar	2	5,8	1,2249	0,2111896552
Bani	Crassotrea_gasar	2	5,2	1,2249	0,2355576923
Bani	Crassotrea_gasar	3	6,7	1,032225	0,1540634328
Bani	Crassotrea_gasar	3	5,6	1,032225	0,1843258929
Bani	Crassotrea_gasar	3	6,8	1,032225	0,1517977941
Bani	Crassotrea_gasar	3	5,8	1,032225	0,1779698276
Bani	Anadara_senilis	1	3,2	0,51446	0,16076875
Bani	Anadara_senilis	1	3,3	0,51446	0,1558969697
Bani	Anadara_senilis	1	3,4	0,51446	0,1513117647
Bani	Anadara_senilis	1	3,4	0,51446	0,1513117647
Bani	Anadara_senilis	1	3,1	0,51446	0,1659548387
Bani	Anadara_senilis	2	2,9	0,46508	0,1603724138
Bani	Anadara_senilis	2	3,1	0,46508	0,1500258065
Bani	Anadara_senilis	2	3,2	0,46508	0,1453375
Bani	Anadara_senilis	2	3,4	0,46508	0,1367882353
Bani	Anadara_senilis	2	3	0,46508	0,1550266667
Bani	Anadara_senilis	3	3,2	0,48634	0,15198125
Bani	Anadara_senilis	3	2,8	0,48634	0,1736928571
Bani	Anadara_senilis	3	3,4	0,48634	0,1430411765
Bani	Anadara_senilis	3	3,3	0,48634	0,1473757576
Bani	Anadara_senilis	3	3,1	0,48634	0,156883871
Niodior	Crassotrea_gasar	1	5,4	0,820275	0,1519027778
Niodior	Crassotrea_gasar	1	5	0,820275	0,164055
Niodior	Crassotrea_gasar	1	5,2	0,820275	0,1577451923
Niodior	Crassotrea_gasar	1	5,7	0,820275	0,1439078947
Niodior	Crassotrea_gasar	2	5,2	0,873725	0,1680240385
Niodior	Crassotrea_gasar	2	5,8	0,873725	0,1506422414
Niodior	Crassotrea_gasar	2	5,5	0,873725	0,1588590909
Niodior	Crassotrea_gasar	2	5,4	0,873725	0,1618009259
Niodior	Crassotrea_gasar	3	5,8	1,066075	0,1838060345
Niodior	Crassotrea_gasar	3	5,4	1,066075	0,1974212963
Niodior	Crassotrea_gasar	3	5,4	1,066075	0,1974212963
Niodior	Crassotrea_gasar	3	4,8	1,066075	0,2220989583
Niodior	Anadara_senilis	1	3,7	0,68412	0,1848972973
Niodior	Anadara_senilis	1	3	0,68412	0,22804
Niodior	Anadara_senilis	1	3,5	0,68412	0,1954628571
Niodior	Anadara_senilis	1	3,5	0,68412	0,1954628571
Niodior	Anadara_senilis	1	3,7	0,68412	0,1848972973
Niodior	Anadara_senilis	2	3,3	0,790114	0,2394284848
Niodior	Anadara_senilis	2	3,6	0,790114	0,2194761111
Niodior	Anadara_senilis	2	3,4	0,790114	0,2323864706
Niodior	Anadara_senilis	2	3,4	0,790114	0,2323864706
Niodior	Anadara_senilis	2	3,3	0,790114	0,2394284848
Niodior	Anadara_senilis	3	3	0,8007	0,2669
Niodior	Anadara_senilis	3	2,9	0,8007	0,2761034483
Niodior	Anadara_senilis	3	3,4	0,8007	0,2355
Niodior	Anadara_senilis	3	3,3	0,8007	0,2426363636
Niodior	Anadara_senilis	3	3,2	0,8007	0,25021875
Bolon Diogan	Crassotrea_gasar	1	5,3	0,79135	0,1493113208
Bolon Diogan	Crassotrea_gasar	1	5,7	0,79135	0,1388333333
Bolon Diogan	Crassotrea_gasar	1	6,4	0,79135	0,1236484375
Bolon Diogan	Crassotrea_gasar	1	5,8	0,79135	0,1364396552
Bolon Diogan	Crassotrea_gasar	2	3,7	0,765775	0,2069662162
Bolon Diogan	Crassotrea_gasar	2	5,5	0,765775	0,1392318182
Bolon Diogan	Crassotrea_gasar	2	6,2	0,765775	0,1235120968
Bolon Diogan	Crassotrea_gasar	2	5,5	0,765775	0,1392318182
Bolon Diogan	Crassotrea_gasar	3	5,1	0,714	0,14
Bolon Diogan	Crassotrea_gasar	3	4,6	0,714	0,1552173913
Bolon Diogan	Crassotrea_gasar	3	5,5	0,714	0,1298181818
Bolon Diogan	Crassotrea_gasar	3	5,4	0,714	0,1322222222
